item,itemLabel,startDate,endDate,psid
Q12725504,Constantin Dudu Ionescu,1998-02-12,1998-04-16,Q12725504-6a736d63-4bd2-93ec-7878-d6f7edde33a0
Q12736795,Niculae Spiroiu,1991-04-30,1994-03-06,Q12736795-dc5df489-4627-e746-2937-54f842a95eaf
Q12743399,Victor Slăvescu,,,Q12743399-022735ad-49b1-f864-c0e0-dfaa86c0d738
Q13580827,Victor Babiuc,1996-12-12,1998-02-11,Q13580827-25fc6ba1-41ad-f2e2-0740-25e2ad0b4089
Q13580827,Victor Babiuc,1998-04-17,2000-03-13,Q13580827-865c747c-4062-3acd-889f-f8c6a1869b5e
Q1365612,Vasile Milea,,,Q1365612-DE867AAD-3476-4291-9FB7-FA702F9D69D9
Q16879979,Mircea Dușa,2012-12-21,2015-11-17,Q16879979-9aa5b3fa-4dbf-3fa5-b36a-250ef1600171
Q18194662,Corneliu Dobrițoiu,2012-05-07,2012-12-21,Q18194662-e993b3fb-4381-f58c-d997-0c6fed8f30dd
Q18548578,Gheorghe Tinca,1994-03-06,1996-12-12,Q18548578-272c190f-4dad-9ca4-b333-9b99689b711f
Q20432649,Adrian Țuțuianu,2017-06-29,2017-09-06,Q20432649-22c88b3e-419f-474c-f141-7abb85348287
Q2329393,Victor Stănculescu,1990-02-16,1991-04-29,Q2329393-abbda5ac-494e-d3b1-eb75-541137d10b74
Q28113996,Gabriel-Beniamin Leș,2018-11-20,2019-11-04,Q28113996-14b21641-45ae-dfde-6d85-2bb41a06e88c
Q28113996,Gabriel-Beniamin Leș,2017-01-04,2017-06-29,Q28113996-E0A8D25B-12DF-4854-AFAE-7E8D4186B57A
Q28950289,Nicolae Ciucă,2019-11-04,2021-11-25,Q28950289-6af1d1ae-4d62-39c2-2a28-4ccff4edd354
Q30349022,Mihai Fifor,2017-09-12,2018-11-20,Q30349022-ec1e08b4-4233-c583-d8fb-f7299eaac104
Q3093904,Gabriel Oprea,2009-12-23,2012-05-07,Q3093904-59047085-4cfa-e8fe-ca43-7ae3172ff201
Q347209,Vasile Dîncu,2021-11-25,,Q347209-9d1b8657-4b80-f8cb-8277-273846902106
Q348800,Ioan Mircea Pașcu,2000-12-28,2004-12-28,Q348800-34EB89DF-4D53-4F74-ACD5-C662C60EC03B
Q3518228,Teodor Meleșcanu,2007-04-05,2008-12-22,Q3518228-B336615E-47CC-45CE-B996-260CD8011D92
Q4682727,Mihai Stănișoară,2008-12-22,2009-12-23,Q4682727-944E6B39-4DB8-4E0A-8159-00B49C476410
Q6845299,Mihnea Motoc,2015-11-17,2017-01-04,Q6845299-8dec8a6a-4852-affe-377b-e8807753c960
Q7563494,Sorin Frunzăverde,2000-03-13,2000-12-28,Q7563494-04b5bb5e-4f1c-4513-0cab-9326e36f158c
Q7563494,Sorin Frunzăverde,2006-10-25,2007-04-05,Q7563494-b4e84613-4bad-0eb5-08a8-bf057fa3b05d
Q7701021,Teodor Atanasiu,2004-12-28,2006-10-25,Q7701021-516ef186-4760-39a8-be0e-0e49b25b7523
Q959397,Nicolae Militaru,1989-12-26,1990-02-16,Q959397-27ba9051-40d0-8754-c901-c242f52e8ad8
