@@,itemlabel,item,startdate,enddate
---,Vasile Milea,Q1365612,,
---,Victor Slăvescu,Q12743399,,
->,Nicolae Militaru,Q959397,1989-12-26->1989-12-22,1990-02-16
->,Victor Babiuc,Q13580827,1998-04-17->1998-04-16,2000-03-13
+++,Ioan Mircea Pașcu,Q348800,2000-12-28,2004-12-28
->,Sorin Frunzăverde,Q7563494,2006-10-25,2007-04-05->2007-04-10
->,Teodor Meleșcanu,Q3518228,2007-04-05->2007-04-10,2008-12-22
->,Gabriel Oprea,Q3093904,2009-12-23,2012-05-07->2012-02-09
+++,Gabriel Oprea,Q3093904,2012-02-09,2012-05-07
->,Corneliu Dobrițoiu,Q18194662,2012-05-07,2012-12-21->2012-12-20
+++,Gabriel-Beniamin Leș,Q28113996,2017-01-04,2017-06-29
->,Adrian Țuțuianu,Q20432649,2017-06-29,2017-09-06->2017-09-05
