position,person,personID,start,end
President,Emil Constantinescu,Q299152,1996-11-29,2000-12-20
President,Ion Iliescu,Q189575,2000-12-20,2004-12-20
President,Traian Băsescu,Q57279,2004-12-21,2014-12-21
President,Crin Antonescu,Q440970,2012-07-10,2012-08-27
President,Klaus Iohannis,Q701484,2014-12-21,2019-12-21
President,Klaus Iohannis,Q701484,2019-12-21,
Prime Minister,Mugur Isărescu,Q255022,1999-12-16,2000-12-28
Prime Minister,Adrian Năstase,Q271966,2000-12-28,2004-12-21
Prime Minister,Călin Popescu-Tăriceanu,Q207473,2004-12-29,2008-12-22
Prime Minister,Emil Boc,Q267857,2008-12-22,2012-02-06
Prime Minister,Cătălin Predoiu,Q1151156,2012-02-06,2012-02-09
Prime Minister,Mihai Răzvan Ungureanu,Q152362,2012-02-09,2012-05-07
Prime Minister,Victor Ponta,Q57692,2012-05-07,2015-11-04
Prime Minister,Sorin Cîmpeanu,Q21095867,2015-11-05,2015-11-17
Prime Minister,Dacian Cioloș,Q929248,2015-11-17,2017-01-04
Prime Minister,Sorin Grindeanu,Q19003460,2017-01-04,2017-06-29
Prime Minister,Mihai Tudose,Q12735517,2017-06-29,2018-01-16
Prime Minister,Mihai Fifor,Q30349022,2018-01-16,2018-01-29
Prime Minister,Viorica Dăncilă,Q9368300,2018-01-29,2019-11-04
Prime Minister,Ludovic Orban,Q671955,2019-11-04,2020-12-07
Prime Minister,Nicolae Ciucă,Q28950289,2020-12-07,2020-12-23
Prime Minister,Florin Cîțu,Q28035183,2020-12-23,2021-11-25
Prime Minister,Nicolae Ciucă,Q28950289,2021-11-25,
Deputy Prime Minister,Gheorghe Seculici,Q12729221,2005-03-20,2005-08-22
Deputy Prime Minister,Béla Markó,Q897108,2009-12-23,2012-04-27
Deputy Prime Minister,Costin Borc,Q21510356,2015-11-17,2017-01-04
Deputy Prime Minister,Sevil Shhaideh,Q21095868,2017-01-04,2017-06-29
Deputy Prime Minister,Marcel Ciolacu,Q21179176,2017-06-29,2018-01-16
Deputy Prime Minister,Viorel Ștefan,Q18549450,2018-01-29,2019-11-04
Deputy Prime Minister,Raluca Turcan,Q7288407,2019-11-04,2020-12-23
Deputy Prime Minister,Dan Barna,Q28113900,2020-12-23,2021-09-07
Deputy Prime Minister,Hunor Kelemen,Q923357,2020-12-23,
Deputy Prime Minister,Hunor Kelemen,Q923357,2020-12-23,2021-10-05
Deputy Prime Minister,Sorin Grindeanu,Q19003460,2021-11-25,
Minister of Agriculture,Ioan Avram Mureșan,Q18542143,1998-12-02,2000-12-28
Minister of Agriculture,Ilie Sârbu,Q13580347,2000-12-28,2004-07-14
Minister of Agriculture,Petre Daea,Q12737826,2004-07-14,2004-12-28
Minister of Agriculture,Gheorghe Flutur,Q5556326,2004-12-28,2006-11-23
Minister of Agriculture,Dan Motreanu,Q12726340,2006-12-06,2007-04-05
Minister of Agriculture,Decebal Traian Remeș,Q4680718,2007-04-05,2007-10-11
Minister of Agriculture,Dacian Cioloș,Q929248,2007-10-11,2008-12-22
Minister of Agriculture,Ilie Sârbu,Q13580347,2008-12-22,2009-10-01
Minister of Agriculture,Radu Berceanu,Q7281707,2009-10-01,2009-12-23
Minister of Agriculture,Mihail Dumitru,Q18533500,2009-12-23,2010-09-03
Minister of Agriculture,Valeriu Tabără,Q3553728,2010-09-03,2012-02-06
Minister of Agriculture,Stelian Fuia,Q12741431,2012-02-09,2012-05-07
Minister of Agriculture,Daniel Constantin,Q16217237,2012-05-07,2015-11-17
Minister of Agriculture,Achim Irimescu,Q21503608,2015-11-17,2017-01-03
Minister of Agriculture,Petre Daea,Q12737826,2017-01-04,2019-11-04
Minister of Agriculture,Nechita-Adrian Oros,Q21179344,2019-11-04,2021-09-28
Minister of Agriculture,Adrian-Ionuț Chesnoiu,Q104598889,2021-11-25,2022-06-23
Minister of Agriculture,Petre Daea,Q12737826,2022-07-08,
"Minister for Businesses, Trade and Entrepreneurship",Ilan Laufer,Q45313382,2017-06-29,2018-01-29
"Minister for Businesses, Trade and Entrepreneurship",Ștefan-Radu Oprea,Q21747037,2018-01-29,2019-11-04
Minister of Communications and Information Society,Zsolt Nagy,Q1214601,2004-12-29,2007-07-30
Minister of Communications and Information Society,Iuliu Winkler,Q520490,2007-07-30,2007-12-01
Minister of Communications and Information Society,Károly Borbély,Q834738,2007-12-13,2008-12-22
Minister of Communications and Information Society,Gabriel Sandu,Q5515847,2008-12-22,2010-09-03
Minister of Communications and Information Society,Valerian Vreme,Q18549271,2010-09-03,2012-02-09
Minister of Communications and Information Society,Răzvan Mustea-Șerban,Q12740250,2012-02-09,2012-04-27
Minister of Communications and Information Society,Dan Nica,Q5214099,2012-05-07,2014-02-25
Minister of Communications and Information Society,Răzvan Cotovelea,Q18343327,2014-02-25,2014-12-16
Minister of Communications and Information Society,Sorin Grindeanu,Q19003460,2014-12-17,2015-11-17
Minister of Communications and Information Society,Marius Raul Bostan,Q21510651,2015-11-17,2016-07-05
Minister of Communications and Information Society,Delia Popescu,Q26246725,2016-08-10,2017-01-04
Minister of Communications and Information Society,Augustin Jianu,Q28867625,2017-01-04,2017-06-29
