ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q7944914,Văcăroiu I Cabinet,1992-01-01,9,1992-01-01,9,1996-01-01,9,,,Q7618671,Stolojan I Cabinet,Q5121220,Ciorbea I Cabinet,Q7618671,Stolojan I Cabinet,Q5121220,Ciorbea I Cabinet
,Q5121220,Ciorbea I Cabinet,1996-01-01,9,1996-01-01,9,1998-01-01,9,,,Q7944914,Văcăroiu I Cabinet,Q7916612,Vasile I Cabinet,Q7944914,Văcăroiu I Cabinet,Q7916612,Vasile I Cabinet
,Q7916612,Vasile I Cabinet,1998-04-17,11,,,1999-12-22,11,,,Q5121220,Ciorbea I Cabinet,Q6089599,Isărescu I Cabinet,Q5121220,Ciorbea I Cabinet,Q6089599,Isărescu I Cabinet
,Q6089599,Isărescu I Cabinet,1999-12-22,11,,,2000-12-28,11,,,Q7916612,Vasile I Cabinet,Q3112329,Năstase I Cabinet,Q7916612,Vasile I Cabinet,Q3112329,Năstase I Cabinet
,Q3112329,Năstase I Cabinet,2000-12-28,11,2000-01-01,9,2004-12-21,11,2004-01-01,9,Q6089599,Isărescu I Cabinet,Q2117888,Tăriceanu Cabinet(s),Q6089599,Isărescu I Cabinet,Q7862542,Tăriceanu I Cabinet
,Q7862542,Tăriceanu I Cabinet,2004-01-01,9,2004-01-01,9,,,2007-01-01,9,,,,,Q3112329,Năstase I Cabinet,Q1720421,Tăriceanu II Cabinet
,Q2117888,Tăriceanu Cabinet(s),2004-11-28,11,,,2005-12-29,11,,,Q3112329,Năstase I Cabinet,Q735983,Boc Cabinets,,,,
,Q1720421,Tăriceanu II Cabinet,2007-01-01,9,,,2008-01-01,9,,,,,,,Q7862542,Tăriceanu I Cabinet,Q735983,Boc Cabinets
,Q735983,Boc Cabinets,2008-12-22,11,2008-01-01,9,2009-12-23,11,2012-01-01,9,Q2117888,Tăriceanu Cabinet(s),Q842927,2nd Boc Cabinet,Q1720421,Tăriceanu II Cabinet,Q849780,Ungureanu Cabinet
,Q842927,2nd Boc Cabinet,2009-12-23,11,,,2012-01-01,9,,,Q735983,Boc Cabinets,Q849780,Ungureanu Cabinet,,,,
,Q849780,Ungureanu Cabinet,2012-02-09,11,,,2012-05-07,11,,,Q842927,2nd Boc Cabinet,Q2246953,Ponta I Cabinet,Q735983,Boc Cabinets,Q2246953,Ponta I Cabinet
,Q2246953,Ponta I Cabinet,2012-05-07,11,,,2012-12-21,11,,,Q849780,Ungureanu Cabinet,Q1581861,Second Ponta cabinet,Q849780,Ungureanu Cabinet,Q1581861,Second Ponta cabinet
,Q1581861,Second Ponta cabinet,2012-12-21,11,,,2014-03-05,11,,,Q2246953,Ponta I Cabinet,Q15891839,Ponta III Cabinet,Q2246953,Ponta I Cabinet,Q15891839,Ponta III Cabinet
,Q15891839,Ponta III Cabinet,2014-03-05,11,,,2014-12-17,11,,,Q1581861,Second Ponta cabinet,Q18639227,Fourth Ponta Cabinet,Q1581861,Second Ponta cabinet,Q18639227,Fourth Ponta Cabinet
,Q18639227,Fourth Ponta Cabinet,2014-12-17,11,,,2015-11-04,11,,,Q15891839,Ponta III Cabinet,Q21484957,Cioloș Cabinet,Q15891839,Ponta III Cabinet,Q21484957,Cioloș Cabinet
,Q21484957,Cioloș Cabinet,2015-11-17,11,,,2017-01-04,11,,,Q18639227,Fourth Ponta Cabinet,Q28123264,Grindeanu Cabinet,,,,
,Q28123264,Grindeanu Cabinet,2017-01-04,11,,,2017-06-29,11,,,Q21484957,Cioloș Cabinet,Q31173799,Tudose Cabinet,,,,
,Q31173799,Tudose Cabinet,2017-06-29,11,,,2018-01-29,11,,,Q28123264,Grindeanu Cabinet,Q47516794,Dăncilă Cabinet,,,,
,Q47516794,Dăncilă Cabinet,2018-01-29,11,,,2019-11-04,11,,,Q31173799,Tudose Cabinet,Q73529134,First Orban Cabinet,,,,
,Q73529134,First Orban Cabinet,2019-11-04,11,,,2020-03-14,11,,,Q47516794,Dăncilă Cabinet,Q87719497,Second Orban Cabinet,,,,
,Q87719497,Second Orban Cabinet,2020-03-14,11,,,2020-12-23,11,,,Q73529134,First Orban Cabinet,Q104440634,Cîțu Cabinet,,,,
131,Q104440634,Cîțu Cabinet,2020-12-23,11,,,2021-10-05,11,2021-11-25,11,Q87719497,Second Orban Cabinet,Q109680585,Ciucă Cabinet,,,Q109680585,Ciucă Cabinet
132,Q109680585,Ciucă Cabinet,2021-11-25,11,,,,,,,Q104440634,Cîțu Cabinet,,,Q104440634,Cîțu Cabinet,,
